D_e : 0.065359, D_real_e : 0.001700, D_fake_e : 0.063659, G_e : 1.772861
D_e : 0.064434, D_real_e : 0.063791, D_fake_e : 0.000642, G_e : 1.661353
D_e : 0.189248, D_real_e : 0.148267, D_fake_e : 0.040980, G_e : 0.786851
D_e : 0.122990, D_real_e : 0.024461, D_fake_e : 0.098529, G_e : 1.645604
D_e : 0.092478, D_real_e : 0.047759, D_fake_e : 0.044719, G_e : 1.376079
D_e : 0.257785, D_real_e : 0.212899, D_fake_e : 0.044886, G_e : 1.465856
D_e : 0.405138, D_real_e : 0.362254, D_fake_e : 0.042884, G_e : 1.569307
D_e : 0.159924, D_real_e : 0.129460, D_fake_e : 0.030463, G_e : 1.364369
D_e : 0.267438, D_real_e : 0.226516, D_fake_e : 0.040923, G_e : 1.277498
D_e : 0.204898, D_real_e : 0.178372, D_fake_e : 0.026526, G_e : 1.732037
D_e : 0.184460, D_real_e : 0.058200, D_fake_e : 0.126260, G_e : 1.613540
D_e : 0.335821, D_real_e : 0.279447, D_fake_e : 0.056374, G_e : 1.341039
D_e : 0.078177, D_real_e : 0.053264, D_fake_e : 0.024914, G_e : 2.237249
D_e : 0.268941, D_real_e : 0.053656, D_fake_e : 0.215285, G_e : 0.609840
D_e : 0.338076, D_real_e : 0.261316, D_fake_e : 0.076760, G_e : 1.207849
D_e : 0.469615, D_real_e : 0.426820, D_fake_e : 0.042796, G_e : 1.593249
D_e : 0.087158, D_real_e : 0.043388, D_fake_e : 0.043770, G_e : 1.591130
D_e : 0.208430, D_real_e : 0.176311, D_fake_e : 0.032119, G_e : 0.499582
D_e : 0.117705, D_real_e : 0.016208, D_fake_e : 0.101497, G_e : 0.997057
D_e : 0.126806, D_real_e : 0.060034, D_fake_e : 0.066772, G_e : 1.538103
D_e : 0.239439, D_real_e : 0.178592, D_fake_e : 0.060847, G_e : 0.835974
D_e : 0.269929, D_real_e : 0.215903, D_fake_e : 0.054026, G_e : 1.439897
D_e : 0.127504, D_real_e : 0.064993, D_fake_e : 0.062511, G_e : 1.278175
D_e : 0.173678, D_real_e : 0.122397, D_fake_e : 0.051281, G_e : 1.293596
D_e : 0.124382, D_real_e : 0.073735, D_fake_e : 0.050647, G_e : 1.924376
D_e : 0.147131, D_real_e : 0.116753, D_fake_e : 0.030378, G_e : 1.838567
D_e : 0.098259, D_real_e : 0.050558, D_fake_e : 0.047701, G_e : 1.134154
D_e : 0.095376, D_real_e : 0.036656, D_fake_e : 0.058720, G_e : 1.187324
D_e : 0.052593, D_real_e : 0.038438, D_fake_e : 0.014156, G_e : 1.993964
D_e : 0.353683, D_real_e : 0.327222, D_fake_e : 0.026461, G_e : 1.146708
D_e : 0.538730, D_real_e : 0.484124, D_fake_e : 0.054606, G_e : 1.069975
D_e : 0.145138, D_real_e : 0.117605, D_fake_e : 0.027534, G_e : 1.580019
D_e : 0.103708, D_real_e : 0.041881, D_fake_e : 0.061828, G_e : 1.285406
D_e : 0.256476, D_real_e : 0.066160, D_fake_e : 0.190316, G_e : 1.681097
D_e : 0.230991, D_real_e : 0.093482, D_fake_e : 0.137509, G_e : 1.482165
D_e : 0.104287, D_real_e : 0.018406, D_fake_e : 0.085882, G_e : 1.789268
D_e : 0.361388, D_real_e : 0.018242, D_fake_e : 0.343146, G_e : 2.163462
D_e : 0.220331, D_real_e : 0.192063, D_fake_e : 0.028268, G_e : 1.252891
D_e : 0.139493, D_real_e : 0.118549, D_fake_e : 0.020944, G_e : 1.541156
D_e : 0.163010, D_real_e : 0.043957, D_fake_e : 0.119052, G_e : 1.247706
D_e : 0.170920, D_real_e : 0.158960, D_fake_e : 0.011960, G_e : 1.350944
D_e : 0.216630, D_real_e : 0.127665, D_fake_e : 0.088965, G_e : 1.373044
D_e : 0.116900, D_real_e : 0.102299, D_fake_e : 0.014601, G_e : 1.654574
D_e : 0.209675, D_real_e : 0.102617, D_fake_e : 0.107058, G_e : 1.681897
D_e : 0.054778, D_real_e : 0.024827, D_fake_e : 0.029951, G_e : 1.687273
D_e : 0.098128, D_real_e : 0.008877, D_fake_e : 0.089251, G_e : 1.366078
D_e : 0.101923, D_real_e : 0.044861, D_fake_e : 0.057062, G_e : 1.492598
D_e : 0.238898, D_real_e : 0.133909, D_fake_e : 0.104990, G_e : 0.885902
D_e : 0.470591, D_real_e : 0.312362, D_fake_e : 0.158229, G_e : 0.718752
D_e : 0.286215, D_real_e : 0.155356, D_fake_e : 0.130859, G_e : 1.103447
D_e : 0.126901, D_real_e : 0.043109, D_fake_e : 0.083792, G_e : 1.408456
D_e : 0.151012, D_real_e : 0.017202, D_fake_e : 0.133810, G_e : 1.282465
D_e : 0.214598, D_real_e : 0.197608, D_fake_e : 0.016990, G_e : 1.323732
D_e : 0.087381, D_real_e : 0.051050, D_fake_e : 0.036331, G_e : 1.395581
D_e : 0.509638, D_real_e : 0.444445, D_fake_e : 0.065193, G_e : 1.342355
D_e : 0.252287, D_real_e : 0.182819, D_fake_e : 0.069468, G_e : 0.707045
D_e : 0.067419, D_real_e : 0.022839, D_fake_e : 0.044579, G_e : 1.603124
D_e : 0.121319, D_real_e : 0.081865, D_fake_e : 0.039455, G_e : 1.545396
D_e : 0.083491, D_real_e : 0.017228, D_fake_e : 0.066263, G_e : 1.622829
D_e : 0.341436, D_real_e : 0.247848, D_fake_e : 0.093588, G_e : 2.302623
D_e : 0.080591, D_real_e : 0.038408, D_fake_e : 0.042183, G_e : 1.640690
D_e : 0.190092, D_real_e : 0.128721, D_fake_e : 0.061371, G_e : 2.018695
D_e : 0.149488, D_real_e : 0.015108, D_fake_e : 0.134380, G_e : 1.140392
D_e : 0.206156, D_real_e : 0.098257, D_fake_e : 0.107899, G_e : 1.323931
D_e : 0.148420, D_real_e : 0.023678, D_fake_e : 0.124742, G_e : 1.091877
D_e : 0.073303, D_real_e : 0.057867, D_fake_e : 0.015436, G_e : 1.061384
D_e : 0.111770, D_real_e : 0.036006, D_fake_e : 0.075763, G_e : 1.282102
D_e : 0.068169, D_real_e : 0.017539, D_fake_e : 0.050630, G_e : 1.380787
D_e : 0.360328, D_real_e : 0.344474, D_fake_e : 0.015855, G_e : 1.375893
D_e : 0.061272, D_real_e : 0.013458, D_fake_e : 0.047814, G_e : 1.318260
D_e : 0.165534, D_real_e : 0.088413, D_fake_e : 0.077121, G_e : 1.498935
D_e : 0.196312, D_real_e : 0.034521, D_fake_e : 0.161791, G_e : 1.693270
D_e : 0.386749, D_real_e : 0.314458, D_fake_e : 0.072292, G_e : 1.564630
D_e : 0.232167, D_real_e : 0.196978, D_fake_e : 0.035189, G_e : 1.630968
D_e : 0.221704, D_real_e : 0.063336, D_fake_e : 0.158369, G_e : 1.370117
D_e : 0.105803, D_real_e : 0.077110, D_fake_e : 0.028692, G_e : 1.669785
D_e : 0.341690, D_real_e : 0.327829, D_fake_e : 0.013860, G_e : 1.672032
D_e : 0.094993, D_real_e : 0.004973, D_fake_e : 0.090020, G_e : 1.825545
D_e : 0.176683, D_real_e : 0.020547, D_fake_e : 0.156136, G_e : 0.832900
D_e : 0.113236, D_real_e : 0.068414, D_fake_e : 0.044822, G_e : 1.505995
D_e : 0.066528, D_real_e : 0.023524, D_fake_e : 0.043004, G_e : 1.296424
D_e : 0.151568, D_real_e : 0.104094, D_fake_e : 0.047473, G_e : 1.926136
D_e : 0.095214, D_real_e : 0.040495, D_fake_e : 0.054720, G_e : 1.687495
D_e : 0.109535, D_real_e : 0.078644, D_fake_e : 0.030891, G_e : 1.315150
D_e : 0.110677, D_real_e : 0.033303, D_fake_e : 0.077374, G_e : 1.322841
D_e : 0.328349, D_real_e : 0.275966, D_fake_e : 0.052383, G_e : 1.397878
D_e : 0.163539, D_real_e : 0.076530, D_fake_e : 0.087009, G_e : 1.741919
D_e : 0.159440, D_real_e : 0.120539, D_fake_e : 0.038900, G_e : 1.038615
D_e : 0.052606, D_real_e : 0.005317, D_fake_e : 0.047289, G_e : 1.889754
D_e : 0.187003, D_real_e : 0.132007, D_fake_e : 0.054995, G_e : 0.725801
D_e : 0.125749, D_real_e : 0.094188, D_fake_e : 0.031561, G_e : 1.702099
D_e : 0.146452, D_real_e : 0.118150, D_fake_e : 0.028303, G_e : 1.277731
