D_e : 0.004751, D_real_e : 0.000843, D_fake_e : 0.003907, G_e : 2.942798
D_e : 0.021864, D_real_e : 0.000237, D_fake_e : 0.021626, G_e : 2.368515
D_e : 0.005781, D_real_e : 0.001332, D_fake_e : 0.004449, G_e : 3.412688
D_e : 0.006201, D_real_e : 0.002873, D_fake_e : 0.003328, G_e : 2.261401
D_e : 0.009217, D_real_e : 0.006475, D_fake_e : 0.002742, G_e : 2.225836
D_e : 0.019793, D_real_e : 0.005440, D_fake_e : 0.014352, G_e : 3.073968
D_e : 0.003511, D_real_e : 0.002010, D_fake_e : 0.001501, G_e : 2.429523
D_e : 0.006270, D_real_e : 0.004306, D_fake_e : 0.001964, G_e : 2.780580
D_e : 0.004167, D_real_e : 0.001584, D_fake_e : 0.002583, G_e : 3.414743
D_e : 0.079671, D_real_e : 0.001347, D_fake_e : 0.078324, G_e : 2.921099
D_e : 0.007718, D_real_e : 0.006054, D_fake_e : 0.001664, G_e : 3.627477
D_e : 0.006432, D_real_e : 0.001895, D_fake_e : 0.004536, G_e : 3.444744
D_e : 0.007919, D_real_e : 0.002772, D_fake_e : 0.005146, G_e : 2.575326
D_e : 0.006526, D_real_e : 0.001344, D_fake_e : 0.005182, G_e : 3.317415
D_e : 0.036241, D_real_e : 0.003117, D_fake_e : 0.033124, G_e : 3.714918
D_e : 0.007683, D_real_e : 0.006464, D_fake_e : 0.001218, G_e : 3.121967
D_e : 0.023277, D_real_e : 0.010168, D_fake_e : 0.013109, G_e : 2.092976
D_e : 0.021270, D_real_e : 0.004912, D_fake_e : 0.016359, G_e : 2.986993
D_e : 0.077278, D_real_e : 0.011043, D_fake_e : 0.066235, G_e : 2.729931
D_e : 0.013220, D_real_e : 0.003235, D_fake_e : 0.009985, G_e : 2.659687
D_e : 0.004887, D_real_e : 0.003518, D_fake_e : 0.001369, G_e : 2.979658
D_e : 0.014761, D_real_e : 0.006159, D_fake_e : 0.008602, G_e : 2.626324
D_e : 0.006598, D_real_e : 0.000342, D_fake_e : 0.006256, G_e : 2.863428
D_e : 0.006295, D_real_e : 0.000771, D_fake_e : 0.005524, G_e : 3.122763
D_e : 0.047368, D_real_e : 0.001836, D_fake_e : 0.045532, G_e : 1.822221
D_e : 0.007041, D_real_e : 0.001554, D_fake_e : 0.005487, G_e : 3.056518
D_e : 0.011993, D_real_e : 0.009657, D_fake_e : 0.002336, G_e : 4.214986
D_e : 0.027304, D_real_e : 0.010602, D_fake_e : 0.016702, G_e : 2.772080
D_e : 0.046348, D_real_e : 0.028133, D_fake_e : 0.018215, G_e : 3.060718
D_e : 0.007493, D_real_e : 0.004275, D_fake_e : 0.003218, G_e : 3.445294
D_e : 0.010357, D_real_e : 0.000427, D_fake_e : 0.009930, G_e : 2.612237
D_e : 0.006095, D_real_e : 0.004910, D_fake_e : 0.001184, G_e : 3.334453
D_e : 0.016204, D_real_e : 0.002767, D_fake_e : 0.013437, G_e : 3.551838
D_e : 0.010630, D_real_e : 0.009973, D_fake_e : 0.000657, G_e : 3.036363
D_e : 0.005575, D_real_e : 0.000601, D_fake_e : 0.004974, G_e : 3.248925
D_e : 0.028799, D_real_e : 0.006173, D_fake_e : 0.022626, G_e : 2.544944
D_e : 0.003759, D_real_e : 0.002780, D_fake_e : 0.000979, G_e : 3.288405
D_e : 0.010594, D_real_e : 0.001741, D_fake_e : 0.008852, G_e : 3.010691
D_e : 0.001997, D_real_e : 0.001243, D_fake_e : 0.000754, G_e : 3.843107
D_e : 0.002718, D_real_e : 0.001191, D_fake_e : 0.001527, G_e : 3.409525
D_e : 0.003511, D_real_e : 0.002701, D_fake_e : 0.000810, G_e : 3.002076
D_e : 0.007262, D_real_e : 0.005607, D_fake_e : 0.001655, G_e : 3.172900
D_e : 0.041779, D_real_e : 0.003313, D_fake_e : 0.038465, G_e : 2.301930
D_e : 0.007858, D_real_e : 0.001517, D_fake_e : 0.006341, G_e : 3.365285
D_e : 0.006601, D_real_e : 0.001034, D_fake_e : 0.005567, G_e : 3.438404
D_e : 0.003663, D_real_e : 0.000475, D_fake_e : 0.003188, G_e : 3.284192
D_e : 0.008627, D_real_e : 0.007418, D_fake_e : 0.001209, G_e : 3.963117
D_e : 0.002849, D_real_e : 0.001646, D_fake_e : 0.001203, G_e : 3.558252
D_e : 0.021100, D_real_e : 0.000416, D_fake_e : 0.020685, G_e : 1.585510
D_e : 0.005063, D_real_e : 0.001965, D_fake_e : 0.003099, G_e : 3.014542
D_e : 0.005175, D_real_e : 0.004515, D_fake_e : 0.000660, G_e : 3.747755
D_e : 0.103858, D_real_e : 0.002999, D_fake_e : 0.100859, G_e : 3.354552
D_e : 0.007123, D_real_e : 0.003079, D_fake_e : 0.004044, G_e : 3.937206
D_e : 0.007594, D_real_e : 0.004870, D_fake_e : 0.002724, G_e : 3.459200
D_e : 0.145900, D_real_e : 0.050857, D_fake_e : 0.095043, G_e : 2.424753
D_e : 0.003225, D_real_e : 0.000871, D_fake_e : 0.002355, G_e : 3.520828
D_e : 0.008460, D_real_e : 0.000028, D_fake_e : 0.008432, G_e : 3.624276
D_e : 0.004949, D_real_e : 0.002553, D_fake_e : 0.002396, G_e : 2.922841
D_e : 0.003447, D_real_e : 0.002868, D_fake_e : 0.000579, G_e : 3.337600
D_e : 0.064180, D_real_e : 0.063821, D_fake_e : 0.000358, G_e : 3.557598
D_e : 0.011171, D_real_e : 0.010666, D_fake_e : 0.000505, G_e : 4.203759
D_e : 0.034819, D_real_e : 0.033517, D_fake_e : 0.001301, G_e : 3.875265
D_e : 0.014554, D_real_e : 0.000540, D_fake_e : 0.014014, G_e : 1.965194
D_e : 0.002127, D_real_e : 0.000384, D_fake_e : 0.001743, G_e : 3.469762
D_e : 0.054654, D_real_e : 0.054239, D_fake_e : 0.000415, G_e : 2.925046
D_e : 0.003965, D_real_e : 0.001618, D_fake_e : 0.002346, G_e : 3.025672
D_e : 0.023438, D_real_e : 0.022311, D_fake_e : 0.001128, G_e : 3.905262
D_e : 0.003819, D_real_e : 0.000344, D_fake_e : 0.003475, G_e : 3.482893
